laboratory,case_count
高雄長庚醫院檢驗醫學部,6
高雄長庚紀念醫院檢驗醫學部,3
財團法人私立高雄醫學大學附設中和紀念醫院檢驗醫學部,2
財團法人私立高雄醫學大學附設中和紀念醫院,1
高雄榮民總醫院病理檢驗部,1
高雄醫學大學附設中和紀念醫院,2
Guardant Health Clinical Laboratory,52
創源分生實驗室,2116
行動基因臨床分子醫學實驗室,308
慧智基因醫學實驗室,1755
華聯中心實驗室,70
金萬林實驗室,139
Igenomix Taiwan Ltd臺灣艾捷隆實驗室,17
麗寶基因體實驗室,1
欣奕醫事檢驗所,848
基龍米克斯實驗室,31
賽亞基因科技股份有限公司分子實驗室,4
佛教慈濟醫療財團法人臺中慈濟醫院檢驗醫學科,3
基因遺傳診斷實驗室,1
基因醫學部細胞遺傳研究室,4
彰化基督教醫療財團法人彰化基督教醫院基因醫學部,75
國立成功大學基因體醫學中心,569
奇美醫療財團法人奇美醫院精準醫學核心實驗室,29
精準醫學核心實驗室,216
基因醫學部,3
精準醫學核心實驗,1
隱性遺傳疾病帶因檢測,1
奇美醫院精準醫學核心實驗室,55
和平婦產科診所細胞遺傳實驗室,38
麗寶醫事檢驗所,14
郭綜合醫院細胞遺傳實驗室,3
Igenomix Taiwan Ltd,8
臺灣生醫醫事檢驗所,23
國立臺灣大學醫學院附設醫院基因醫學部,4
病理部,3
基因飛躍生命科學實驗室,26
醫療財團法人病理發展基金會臺北病理中心,35
國立臺灣大學醫學院附設醫院癌醫中心分院分子病理實驗室,9
慧智全方位複合式晶片檢測v3.0,1
國立臺灣大學醫學院附設醫院病理部,10
三軍總醫院附設民眾診療服務處精準醫學暨基因體中心,5
血液腫瘤部臺成細胞治療中心,21
大安聯合醫事檢驗所,99
臺北醫學大學附設醫院病理科,5
威健生物實驗室,7
NIPT非侵入性胎兒染色體檢測Q寶PLUS+,1
國立臺灣大學醫學院附設醫院檢驗醫學部,33
柯滄銘婦產科診所基因飛躍生命科學實驗室,4
精準醫學實驗室,3
特殊生化組實驗室,12
林口長庚紀念醫院檢驗醫學部,14
英緹檢測服務實驗室,56
佛教慈濟醫療財團法人花蓮慈濟醫院生殖醫學中心基因實驗室,1
國立臺灣大學醫學院附設醫院雲林分院精準醫學中心,1
臺中榮民總醫院精準醫學實驗室,8
Invitae Corporation,5
Eone-Diagnomics Genome Center,13
"Natera, Inc",47
國立成功大學醫學院附設醫院病理部分子診斷組,20
Natera Inc.,33
中國醫藥大學新竹附設醫院檢驗科,4
馬偕紀念醫院病理科分子病理實驗室,12
Invitae Corporation Laboratory,12
Genomic Health Inc Laboratory,40
創源生物科技分生實驗室,2
Foundation Medicine Laboratory,4
臺大醫院基因醫學部,1
有勁基因體核心實驗室,1
財團法人國泰綜合醫院臨床病理科-汐止分子醫學實驗室,4
Agendia Inc Laboratory,12
大安聯合醫事檢驗所-特殊生化實驗室,8
中國醫藥大學附設醫院檢驗醫學部,11
臺北榮民總醫院病理檢驗部分子病理科,1
臺北醫學大學附設醫院分子病理實驗室,2
南韓商愛仁血液診斷股份有限公司(IMBDX Inc.),7
國立成功大學醫學院附設醫院基因醫學部,1
分子病理實驗室,1
佛教慈濟醫療財團法人花蓮慈濟醫院檢驗醫學科,1
Eone-Diagnomocs Genome Center,1
Igenomix Italia Srl,24
長庚醫療財團法人林口長庚紀念醫院分子診斷檢驗室造血癌症組,1
臺灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院醫事檢驗科,2
IMBDX Laboratory,37
送子鳥分子實驗室,2
"Centogene GmbH Clinical Patient Testing Laboratory Rostock, Germany",5
精準基因暨細胞中心,3
秀傳醫療財團法人彰濱秀傳紀念醫院精準基因暨細胞中心,5
IGENOMIX SLU/ IGENOMIX FZ LLC/ Igenomix Taiwan Ltd,16
送子鳥分生實驗室,4
"Centogene GmbH Rostock, Germany",7
IMBDX Laboratory(IMBDX Inc.),1
奇美醫療財團法人奇美醫院精準核心實驗室,1
藥物基因體實驗室,1
IGENOMIX SLU* IGENOMIX FZ LLC/ Igenomix Taiean Ltd,1
長庚醫療財團法人林口長庚紀念醫院,1
國立成功大學醫學院附設醫院病理部,7
國立臺灣大學醫學院附設醫院病理部分子病理室,1
國立臺灣大學基因體暨精準醫學研究中心-藥物基因體實驗室,1
"Natera,Inc.",17
CooperGenomics London,14
臺中榮民總醫院病理檢驗部分子病理實驗室,3
Natera Incorporated(San Carlos/Austin),10
Eone-Diagnomics Genome Center-EDGC,1
"IGENOMIX SPAIN LAB, S.L.(Unipersonal);(IGENOMIX)Igenomix Taiwan Ltd 臺灣艾捷隆實驗室",1
IGENOMIX SLU,4
"Fulgent Therapeutics LLC, Fulgent Diagnostics Laboratory",1
Agendia NV,1
"IGENOMIX SPAIN LAB, S.L.(Unipersonal) (IGENOMIX)",7
"Labcorp Genetics, Inc. Laboratory",2
"IGENOMIX SPAIN LAB, S.L.(Unipersonal)(IGENOMIX))",1
"Fulgent Therapeutics LLC, Fulgent Diagnostics Laboratory、創源分生實驗室",2
財團法人中華民國衛生保健基金會附設醫事檢驗所,175
國立臺灣大學醫學院附設醫院基因醫學部新生兒篩檢室,53
