laboratory,case_count
高雄長庚紀念醫院檢驗醫學部,9
高雄長庚醫院檢驗醫學部,3
財團法人私立高雄醫學大學附設中和紀念醫院檢驗醫學部,1
財團法人私立高雄醫學大學附設中和紀念醫院,1
高雄榮民總醫院病理檢驗部,1
高雄醫學大學附設中和紀念醫院,2
GuardantHealthClinicalLaboratory,3
GuardantHealthClinicallaboratory,1
創源分生實驗室,671
行動基因臨床分子醫學實驗室,98
慧智基因醫學實驗室,538
華聯中心實驗室,23
亞洲準譯分子檢驗實驗室,14
金萬林實驗室,64
IgenomixTaiwanLtd臺灣艾捷隆實驗室,4
麗寶基因體實驗室,2
欣奕醫事檢驗所,94
基龍米克斯實驗室,9
賽亞基因科技股份有限公司分子實驗室,2
衛生福利部豐原醫院精準醫學實驗室,6
臺中榮民總醫院內科部感染科-感染症分子診斷實驗室,2
佛教慈濟醫療財團法人臺中慈濟醫院檢驗醫學科,4
基因遺傳診斷實驗室,1
基因醫學部細胞遺傳研究室,4
精準醫學實驗室,5
彰化基督教醫療財團法人彰化基督教醫院基因醫學部,26
國立成功大學基因體醫學中心,163
奇美醫療財團法人奇美醫院精準醫學核心實驗室,8
精準醫學核心實驗室,88
基因醫學部,2
精準醫學核心實驗,1
隱性遺傳疾病帶因檢測,1
奇美醫院精準醫學核心實驗室,1
和平婦產科診所細胞遺傳實驗室,14
麗寶醫事檢驗所,41
郭綜合醫院細胞遺傳實驗室,3
IgenomixTaiwanLtd,2
臺灣生醫醫事檢驗所,19
醫療財團法人病理發展基金會臺北病理中心,21
國立臺灣大學醫學院附設醫院基因醫學部,1
病理部,3
大安聯合醫事檢驗所,29
基因飛躍生命科學實驗室,13
國立臺灣大學醫學院附設醫院癌醫中心分院分子病理實驗室,2
慧智全方位複合式晶片檢測v3.0,1
國立臺灣大學醫學院附設醫院病理部,8
三軍總醫院附設民眾診療服務處精準醫學暨基因體中心,5
血液腫瘤部臺成細胞治療中心,21
臺北醫學大學附設醫院病理科,4
威健生物實驗室,1
NIPT非侵入性胎兒染色體檢測Q寶PLUS+,1
國立臺灣大學醫學院附設醫院檢驗醫學部,17
柯滄銘婦產科診所基因飛躍生命科學實驗室,6
特殊生化組實驗室,14
林口長庚紀念醫院檢驗醫學部,30
長庚醫療財團法人林口長庚紀念醫院檢驗醫學部,1
彰化基督教醫院分子病理實驗室,3
英緹檢測服務實驗室,50
佛教慈濟醫療財團法人花蓮慈濟醫院生殖醫學中心基因實驗室,1
國立臺灣大學醫學院附設醫院雲林分院精準醫學中心,1
